Nome
Bengo
Benguela
Bié
Cabinda
Cuando-Cubango
Cuanza Norte
Cuanza Sul
Cunene
Huambo
Huíla
Luanda
Lunda Norte
Lunda Sul
Malanje
Moxico
Namibe
Uíge
Zaire

-------------------------
Codigo	Nome
1	Ambriz
1	Bula Atumba
1	Dande
1	Dembos
1	Nambuangongo
1	Pango Aluquém
2	Baía farta
2	balombo
2	Benguela
2	Bocolo
2	Caimbambo
2	Catumbela
2	Chongoroi
2	Cubal
2	Ganda
2	Lobito
3	Andulo
3	Camacupa
3	Catabola
3	Chimguar
3	Chitembo
3	Cuemba
3	Conhinga
3	Cuito
3	Nharea
4	Cabinda
4	Cacongo
4	Buco-Zau
4	Belize
5	Calai
5	Cuangar
5	Cuchi
5	Cuito Cuanavale
5	Dirico
5	Mavinga
5	Menongue
5	Nancova
5	Rivungo
6	Ambaca
6	Banga
6	Bolongongo
6	Cambambe
6	Cazengo
6	Golungo Alto
6	Gonguembo
6	Lucala
6	Quiculungo
6	Samba Caju
7	Amboim
7	Cassongue
7	Cela
7	Conda
7	Ebo
7	Libolo
7	Mussende
7	Porto Amboim
7	Quilenda
7	Quibala
7	Seles
7	Sumbe
8	Cahama
8	Cuanhama
8	Curoca
8	Cuvelai
8	Namacunde
8	Ombadja
9	Huambo
9	bailundo
9	Ecunha
9	Caála
9	Cachiungo
9	Londuimbale
9	Longonjo
9	Mungo
9	Chicala-Choloanga
9	Chinjenje
9	Ucuma
10	Caconda
10	Cacula
10	Caluquembe
10	Chiange
10	Chibia
10	Chicomba
10	Chipindo
10	Cuvango
10	humpata
10	jamba
10	Lubango
10	Matala
10	Quilengues
10	Quipungo
11	Cacuaco
11	Belas
11	Cazenga
11	Ícolo e Bengo
11	luanda
11	Quissama
11	Quilamba Quiaxi
11	talatona
11	Viana
12	Cambulo
12	Capenda
12	Camulemba
12	Caungula
12	Chitato
12	Cuango
12	Cuílo
12	Lubalo
12	lucapa
12	Lóvua
12	Xá-Mutemba
13	Cacolo
13	dala
13	Muconda
13	Saurimo
14	Cacuso
14	Calandua
14	Cambundi-Catembo
14	Cangandala
14	Caombo
14	Cuaba Nzongo
14	Cuanda-Diaza
14	Luquembo
14	Malange
14	Marimba
14	Massango
14	Caculama-Mucari
14	Quela
14	Quirima
15	Alto Zambeze
15	Bundas
15	Camanongue
15	Cameia
15	Luau
15	Lucano
15	Luchazes
15	Léua
15	Moxico
16	Bibala
16	Camulo
16	Namibe
16	Tómbua
16	Virei
17	Alto Cauale
17	Ambuila
17	Bembe
17	Buengas
17	Bungo
17	Damba
17	Macocola
17	Mucaba
17	Negage
17	Puri
17	Quimbele
17	Quitexe
17	Sanza Pombo
17	Songo
17	Uíge
17	Maquela do Zombo
18	Cuimba
18	M'Banza Kongo
18	Noqui
18	N'Zeto
18	Soyo
18	Tomboco
